user_id,first_name,last_name,gender,date_of_birth,department_id,batch_year,semester,registration_number,contact_number
1,William,Gibbs,female,2005-12-04,1,2022,2,REG2022001,537-834-1044
2,Dana,Sims,female,2007-03-11,1,2023,2,REG2023002,+1-957-194-5309x6274
3,Ryan,Anderson,other,2003-06-29,1,2021,8,REG2021003,789-819-1087x12020
4,Michelle,Serrano,female,2005-09-22,1,2021,3,REG2021004,028.966.6062x45362
5,Rhonda,Adams,male,2006-12-25,1,2022,4,REG2022005,+1-509-246-5832x2478
6,Danny,Martinez,female,2001-10-28,3,2022,8,REG2022006,695.246.2750x0048
7,Brendan,Cain,male,2002-02-19,2,2023,5,REG2023007,7933572524
8,Ashley,Dixon,female,1999-10-12,3,2023,3,REG2023008,(114)879-0186
9,Christopher,Terry,male,1999-06-15,3,2021,3,REG2021009,+1-790-806-0791x873
10,Cheryl,Harris,male,2002-05-02,3,2023,3,REG2023010,6709342789
11,Scott,Wilson,female,2001-08-23,2,2023,7,REG2023011,408.693.7479x99352
12,Patricia,Oconnor,female,2005-06-14,3,2022,6,REG2022012,+1-452-943-4386x914
13,Holly,Rice,other,2006-06-28,3,2023,3,REG2023013,563.445.7910x598
14,James,Brown,other,2004-11-02,3,2021,4,REG2021014,001-156-920-6125x2417
15,Melissa,Herrera,male,2002-04-25,1,2023,1,REG2023015,408.099.7908x428
16,Peggy,Adams,male,2002-04-21,2,2023,6,REG2023016,+1-605-187-7645x08284
17,Nicole,Pearson,female,2006-10-18,2,2022,4,REG2022017,108-281-5253
18,Zachary,Collins,male,2003-02-24,1,2021,7,REG2021018,001-686-560-0423x1257
19,Sarah,Anderson,female,2000-01-20,3,2023,6,REG2023019,+1-962-496-6496x97618
20,Chad,Gonzalez,other,2004-09-16,2,2022,6,REG2022020,314-309-6255x758
